sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
AusGEM_01803:AB944	1	2845	46.5377855887522	d0b7a906db05d35974d226d8cb2d0be7	-	-	-	-	-	-	MOB_unknown	CP016722	mobilizable	NC_019054	0.0531179	Escherichia coli	AB944	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_01804:AA378	2	93913	48.12113338941361	6d40a07ef240edc18cbbbadecc5c228c	IncHI1B	000138__CP021336_00001	-	-	-	-	-	-	non-mobilizable	CP022733	0.0230043	Escherichia coli	AA378	AI389	order	Enterobacterales	order	Enterobacterales	genus	Salmonella	18606786
AusGEM_01804:AA338	5	102208	51.6916484032561	3f2723c48027e2a3ac804604a7e186fb	IncFIA,IncFIC	MK878891_00042,AY458016	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_019094_00068,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,NC_008460_00107,NC_019094_00068,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF,MOBP	CP010192,AP014804	conjugative	CP016389	0.00800497	Salmonella enterica subsp. enterica serovar Typhimurium	AA338	AI281	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_01804:AA619	1	33718	41.68989857049647	f8e5c1e2fd861f61e44dc29f4ae7f7f2	IncX4	000222__CP010880_00038	MOBP	NC_013718_00057	MPF_T	NC_013718_00041,NC_013718_00044,NC_013718_00045,NC_019128_00037	-	-	conjugative	CP016037	0.00676872	Escherichia coli	AA619	AI862	family	Enterobacteriaceae	family	Enterobacteriaceae	family	Enterobacteriaceae	26842776; 21911569; 28336940
AusGEM_01804:novel_04c9a6039910176f892d64c1707404dc	2	24974	51.437494994794584	04c9a6039910176f892d64c1707404dc	IncFIA	000136__AP014877_00014	MOBF	NC_017627_00068	-	-	-	-	mobilizable	CP018119	0.0651085	Escherichia coli	novel_04c9a6039910176f892d64c1707404dc	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 24247128; 20851899; 22511964
AusGEM_01805:AA860	23	227775	51.451212819668534	d8238cdb116de25fab04db14506fe73d	IncC,IncY	000092__CP025470,000230__CP009168_00001	MOBH,MOBH	NC_012885_00072,NC_012690_00071	MPF_F	NC_009140_00071,NC_014170_00023,NC_012885_00083,NC_016974_00085,NC_012885_00091,NC_023291_00077,NC_012885_00088,NC_012885_00167	MOBH	JQ319772	conjugative	KY887590	0.00360762	Escherichia coli	AA860	AJ273	phylum	Pseudomonadota	class	Gammaproteobacteria	phylum	Pseudomonadota	19949054; 23800906; 20138094; 19482926; 24567731; 28842132; 20851899; 22290972; 28031198
AusGEM_01805:novel_555309910298c15bcfe547d70f7ff68b	2	79154	48.012734669126004	555309910298c15bcfe547d70f7ff68b	rep_cluster_1704	001113__CP011430_00070	-	-	-	-	-	-	non-mobilizable	CP034790	0.0857608	Escherichia coli	novel_555309910298c15bcfe547d70f7ff68b	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_01805:AA998	13	156075	46.272625340381225	e8dbf12c783241e62d74a53aaf6acc1b	IncFIA	AF250878	MOBH	NC_013365_00169	MPF_F	NC_019360_00256,NC_019360_00255,NC_009981_00239,NC_005211_00030,NC_019360_00278,NC_002305_00120,NC_002305_00127	-	-	conjugative	AF250878	0.0146626	Salmonella enterica subsp. enterica serovar Typhi	AA998	AJ516	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 24247128; 20851899; 22511964
AusGEM_01805:AA887	4	66530	50.3787764918082	40f75c941362b0a8a68a2b2761f89c96	IncFIB,rep_cluster_1804	000103__CP010244_00032,001225__CP009851_00013	MOBC	NC_014725_00039	MPF_T	NC_011092_00100,NC_011092_00102,NC_011092_00103	-	-	conjugative	CP029871	0.0246831	Salmonella enterica subsp. enterica serovar Typhi	AA887	AJ324	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_01805:AA810	5	59893	48.095770791244384	e4eda92df6f17841eb3cb5b16daa4fc2	-	-	-	-	-	-	-	-	non-mobilizable	CP035364	0.0529154	Escherichia coli	AA810	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_01805:novel_649b9a894124379dd2417677cf4bf303	11	24341	50.453966558481575	649b9a894124379dd2417677cf4bf303	IncFIB	000107__CP014778_00094	-	-	-	-	-	-	non-mobilizable	CP039329	0.0665597	Citrobacter portucalensis	novel_649b9a894124379dd2417677cf4bf303	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_01805:AB044	1	4256	50.82236842105263	fa77e11819b08ac21dfbf31c8ebef547	rep_cluster_2373	LT985313_00005	-	-	-	-	-	-	non-mobilizable	CP041445	0.00299754	Escherichia coli	AB044	AJ586	order	Enterobacterales	order	Enterobacterales	genus	Klebsiella	26169555
AusGEM_01806:AA738	10	237338	47.02702474951335	cbdbe2ef5a07ca7742ef8fd80354095f	IncHI2A,rep_cluster_1088,IncN	BX664015,000340__KU353730,000155__CP018649	MOBH	NC_012555_00231	MPF_F	NC_005211_00030,NC_021845_00017,NC_009838_00006,NC_005211_00005,NC_005211_00207,NC_005211_00200,NC_005211_00012	MOBH	NC_015864	conjugative	CP036178	0.00687462	Escherichia coli	AA738	AJ047	class	Gammaproteobacteria	class	Gammaproteobacteria	order	Enterobacterales	23114770; 20851899; 28842132
AusGEM_01807:AA474	2	90790	50.26324485075449	2868c4da561fe5c6090831cfdb9bc636	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	HM021326	conjugative	HG970648	0.00774383	Escherichia coli	AA474	AI602	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AusGEM_01808:AA474	2	89933	50.27298099696441	6e5519b84e46e51e6a7e09d0dff57b2e	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NC_019097_00085,NZ_CM001473_00069,NC_022267_00069,NC_019097_00075,NC_015965_00072,NC_023290_00086,NC_019111_00038,NC_022267_00057,NC_019097_00056	MOBP	HM021326	conjugative	HG970648	0.00789262	Escherichia coli	AA474	AI602	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AusGEM_01809:AA747	2	109601	46.40651088949918	becfe6522c8d156821ad21c868cb7419	IncFIB	000104__CP010386_00052	-	-	-	-	-	-	non-mobilizable	CU638872	0.0111321	Escherichia coli LF82	AA747	AJ076	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_01809:AA474	6	102259	50.797484817962236	4d79455a2089926830af528675136f07	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	HM021326	conjugative	CP009566	0.00296902	Salmonella enterica subsp. enterica serovar Newport str. CVM 22462	AA474	AI602	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AusGEM_01809:AB241	1	2207	55.36927956502039	400563965a645bb6edffa47753315d72	ColpVC	JX133088	-	-	-	-	MOBP	AB027308	mobilizable	NC_021927	0.000780658	Salmonella enterica subsp. enterica serovar Enteritidis	AB241	AJ946	order	Enterobacterales	order	Enterobacterales	-	-	-
AusGEM_01809:AB685	1	1663	52.736019242333136	43ad5ff8bcf2a1a9cec4b784216cc619	Col(MG828)	NC_008486	-	-	-	-	MOBP,MOB_unknown	AB027308,JN985534	mobilizable	CP023858	0.000730741	Escherichia coli	AB685	AK563	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_01809:AE761	1	1640	54.81707317073171	3fe79c55847281c4005232ee4d9f6d07	-	-	-	-	-	-	MOBP,MOBP	AB027308,CP018984	mobilizable	CP044966	0.0160531	Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:-	AE761	AO605	genus	Salmonella	genus	Salmonella	-	-	-
AusGEM_01810:AA747	1	107647	46.305981587968084	8cb3c20c8c5c3f2b92b59d9177ead0f2	IncFIB	000104__CP010386_00052	-	-	-	-	-	-	non-mobilizable	CU638872	0.0107836	Escherichia coli LF82	AA747	AJ076	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_01810:AA474	2	95469	50.09584262954467	fec204e1d20a393783539c10f47b0fe3	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	HM021326	conjugative	CP009566	0.0010072	Salmonella enterica subsp. enterica serovar Newport str. CVM 22462	AA474	AI602	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AusGEM_01811:AA747	1	107647	46.32363187083709	7c67a12ce935e224374bc099b5a51444	IncFIB	000104__CP010386_00052	-	-	-	-	-	-	non-mobilizable	CU638872	0.0107836	Escherichia coli LF82	AA747	AJ076	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_01811:AA474	3	95675	50.06846093545858	1e06730f3a696524eca2045da976d6db	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NC_019097_00085,NZ_CM001473_00069,NC_022267_00069,NC_019097_00075,NC_015965_00072,NC_023290_00086,NC_019111_00038,NC_022267_00057,NC_019097_00056	MOBP	HM021326	conjugative	CP009566	0.0010072	Salmonella enterica subsp. enterica serovar Newport str. CVM 22462	AA474	AI602	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AusGEM_01813:AA474	2	91841	50.09418451454144	cea8883996b53fcfa1eac43c857a7699	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	HM021326	conjugative	MG844436	0.00105797	Escherichia coli	AA474	AI602	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AusGEM_01814:AA738	28	284511	47.4920126111117	c04962b35e792bf5867c3e7d48249c15	IncHI2A,IncN,rep_cluster_1088	BX664015,000155__CP018649,000340__KU353730	MOBH	NC_012555_00231	MPF_F	NC_005211_00200,NC_005211_00207,NC_021845_00017,NC_005211_00030,NC_005211_00012,NC_005211_00005,NC_009838_00006	MOBH,MOBF	NC_015864,NZ_CP013834	conjugative	CP026492	0.00989629	Escherichia coli	AA738	AJ047	class	Gammaproteobacteria	class	Gammaproteobacteria	order	Enterobacterales	23114770; 20851899; 28842132
AusGEM_01814:AA860	10	206680	52.008418811689566	e375d7db9e604662b10471dbebbf197a	IncC	000092__CP025470	MOBH,MOBH	NC_012690_00071,NC_012885_00072	MPF_F	NC_023291_00077,NC_012885_00091,NC_016974_00085,NC_012885_00083,NC_014170_00023,NC_009140_00071,NC_012885_00088,NC_012885_00167	MOBH	JQ319772	conjugative	KY887595	0.00823165	Escherichia coli	AA860	AJ273	phylum	Pseudomonadota	class	Gammaproteobacteria	phylum	Pseudomonadota	23800906; 20138094; 19482926; 24567731; 28842132; 20851899; 22290972; 19949054
AusGEM_01814:AA747	4	110601	47.15780146653285	8ea93fa45045cc107dfa0f9c572073c9	rep_cluster_488	001852__AP017612_00001	-	-	-	-	-	-	non-mobilizable	CP019002	0.0171844	Escherichia coli	AA747	AJ073	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_01814:AE974	1	33589	43.311798505463095	fc33ecf8a5581671e883f3fcc73fd4f2	IncX5	000226__MF062700	MOBP	NC_019096_00001	MPF_T	NC_023277_00163,NC_019899_00040,NC_019899_00039,NC_019899_00038,NC_019899_00035	-	-	conjugative	CP032355	0.00719593	Klebsiella variicola	AE974	AO865	order	Enterobacterales	order	Enterobacterales	genus	Klebsiella	23114770
AusGEM_01814:AB229	2	35329	44.36864898525291	53fe1392ac21c95ed0cda3eaf4f5eaed	IncX1	000215__KC853434_00019	MOBP	NC_019096_00001	MPF_T	NC_023277_00163,NC_019138_00026,NC_019067_00043,NC_010860_00022,NC_017624_00009	-	-	conjugative	HG963477	0.00715996	Escherichia coli	AB229	AJ909	order	Enterobacterales	order	Enterobacterales	family	Enterobacteriaceae	21625636; 22470007
AusGEM_01814:AB180	6	42147	50.416399743754006	1f5c58ef8acac9505fe88c5d71401ea3	IncFIA,IncR	AF250878,000204__CP008701_00115	-	-	-	-	-	-	non-mobilizable	CP018105	0.0127767	Escherichia coli	AB180	AJ818	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 23711894; 24247128; 20851899; 22511964
AusGEM_01814:AA979	1	6186	49.256385386356285	58e4919c861b4d69c74c77ff10bb6650	Col156	CP001126_00001	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP018986	0.00123693	Escherichia coli	AA979	AJ481	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
AusGEM_01814:AB067	1	2570	49.64980544747082	24b499e30706ad1b404e2f08f5ae1b63	ColRNAI_rep_cluster_1987	CP041116_00002	-	-	-	-	-	-	non-mobilizable	JQ319766	0.032829	Proteus mirabilis	AB067	-	multi-phylla	Actinomycetota,Pseudomonadota	multi-phylla	Actinomycetota,Pseudomonadota	-	-	-
AusGEM_01815:AA378	1	97420	48.136932867994254	d6e1822329ed20bf7e505b708438aa12	IncY	000230__CP009168_00001	-	-	-	-	-	-	non-mobilizable	CP009168	0.0186813	Escherichia coli 1303	AA378	AI389	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	28031198
AusGEM_01815:AA179	17	211201	50.809418516010815	24e711064c21f1e93641129fa70b3757	IncFIA,IncFIB,IncFIC,IncFII	000136__AP014877_00014,000095__NZ_CP014273_00094,AP001918,KF954760	MOBF,MOBP	NC_017627_00068,NC_021819_00066	MPF_F	NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,08-5333_00200,08-5333_00200,NC_009837_00049,NC_019094_00090,NC_010409_00124,NC_022651_00077	-	-	conjugative	CP043737	0.00483188	Escherichia coli	AA179	AH868	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
AusGEM_01817:AA316	2	75481	52.58939335726872	b21d5bda1af928df5f00bda76d4b1a66	IncFIA,IncFIC	000136__AP014877_00014,AY458016	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	CP035752	0.0113529	Escherichia coli E110019	AA316	AI195	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_01817:AB044	1	8521	45.569768806478116	a59ccbc8b8fc6f0e12091189ee206ea7	-	-	-	-	-	-	-	-	non-mobilizable	KY612499	0.015616	Escherichia coli	AB044	AJ585	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_01817:AA579	1	4187	49.414855505134945	37c1ccc126ea60fd55a4d0b257112a26	rep_cluster_1778	001201__CP010878_00001	MOBQ	NC_011411_00002	-	-	MOBQ,MOBQ	NC_010672,NC_002126	mobilizable	CP011140	0.00737682	Escherichia coli VR50	AA579	AI801	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_01818:AA474	6	114643	51.98834643196707	d4495fd58d76c189dde36b827104bf25	IncI-gamma/K1,IncQ1	KJ484639,000195__NC_013728_00014	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	JN253636	conjugative	CP016520	0.00570819	Salmonella enterica subsp. enterica serovar Heidelberg	AA474	AI614	phylum	Pseudomonadota	phylum	Pseudomonadota	phylum	Pseudomonadota	23333216; 25389419; 30761100; 2653965; 25987637; 21470454; 29899511; 20851899
AusGEM_01819:AA903	1	7397	51.31810193321617	012d4946deb9187454836d3f61b73399	-	-	-	-	-	-	-	-	non-mobilizable	CP019138	0.0529154	Brevirhabdus pacifica	AA903	-	genus	Brevirhabdus	genus	Brevirhabdus	-	-	-
AusGEM_01820:AA474	2	90083	50.301388719292206	d9d3e90fd75a8d01930b4bb722df0928	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NC_019097_00085,NZ_CM001473_00069,NC_022267_00069,NC_019097_00075,NC_015965_00072,NC_023290_00086,NC_019111_00038,NC_022267_00057,NC_019097_00056	MOBP	HM021326	conjugative	MG844436	0.000409992	Escherichia coli	AA474	AI602	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AusGEM_01821:AA579	1	4187	49.486505851444946	d26a0f432d63e01ddb9cff2fd0df5064	rep_cluster_1778	001201__CP010878_00001	MOBQ	NC_011411_00002	-	-	MOBQ,MOBQ	NC_002126,NC_010672	mobilizable	CP011140	0.00737682	Escherichia coli VR50	AA579	AI801	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_01822:AC082	4	19402	53.85011854447995	b9bff59821e944e4f9cd019774603bdc	IncQ1	000195__NC_013728_00014	-	-	-	-	-	-	non-mobilizable	NC_019091	0.0232268	Escherichia coli	AC082	AL119	phylum	Pseudomonadota	phylum	Pseudomonadota	phylum	Pseudomonadota	2653965; 25389419; 20851899
AusGEM_01822:AA903	1	7397	51.31810193321617	d7906eb9112f2897fd7eac66bc1ca60a	-	-	-	-	-	-	-	-	non-mobilizable	CP019138	0.0529154	Brevirhabdus pacifica	AA903	-	genus	Brevirhabdus	genus	Brevirhabdus	-	-	-
AusGEM_01823:AA474	2	89067	50.35871871737007	8fb2855b681cc41b257463c924aa287d	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	HM021326	conjugative	MG844436	0.00075568	Escherichia coli	AA474	AI602	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AusGEM_01824:AA474	1	88109	50.41028725782837	70c060d3a07105619b3cb959539d2b6f	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NC_019097_00085,NZ_CM001473_00069,NC_022267_00069,NC_019097_00075,NC_015965_00072,NC_023290_00086,NC_019111_00038,NC_022267_00057,NC_019097_00056	MOBP	HM021326	conjugative	MG844436	0.00108342	Escherichia coli	AA474	AI602	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AusGEM_01825:AA887	2	61184	53.21652719665272	07ec5ea32323aa37c69188b0d56fc956	IncFIB	000107__CP014778_00094	MOBC	NC_014725_00039	MPF_T	NC_011092_00103,NC_011092_00102,NC_011092_00100	-	-	conjugative	CP020344	0.00502299	Shigella flexneri 1a	AA887	AJ321	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_01826:AA474	2	94212	50.018044410478495	1f8813cf43be86baaf1f012100b10d5c	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	HM021326	conjugative	CP009566	0.000215742	Salmonella enterica subsp. enterica serovar Newport str. CVM 22462	AA474	AI602	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AusGEM_01826:AA974	2	8962	48.616380272260656	43c1d478204ee1265948b2da19ef5715	Col156,Col156	CP001126_00001,CP019693_00001	MOBQ	NC_013719_00001	-	-	-	-	mobilizable	CP034824	0.0241368	Salmonella sp. SSDFZ54	AA974	AJ475	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
AusGEM_01826:AA579	1	4195	48.86769964243147	5462bb2ff75829d3b58d7f853cd1873b	rep_cluster_1778	001198__NC_010486_00001	MOBQ	NC_011411_00002	-	-	MOBQ,MOBQ	NC_016036,NC_010672	mobilizable	CP033851	0.0139486	Escherichia coli	AA579	AI799	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_01826:AF232	2	3496	60.55491990846682	eaba5862f3b76306410a07197bf88412	-	-	-	-	-	-	-	-	non-mobilizable	CP034740	0.0414262	Escherichia coli	AF232	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_01827:AA474	1	89872	50.36162542282357	c8ab8b6307c522442a8ab60f609720b5	IncI-gamma/K1	KJ484639	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	HM021326	conjugative	MG844436	0.00770681	Escherichia coli	AA474	AI602	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AusGEM_01827:AA619	1	33703	41.637242975402785	232deaa56ef3cac110c4328325e157a6	IncX4	000222__CP010880_00038	MOBP	NC_013718_00057	MPF_T	NC_019128_00037,NC_013718_00045,NC_013718_00044,NC_013718_00041	-	-	conjugative	CP016037	0.00518381	Escherichia coli	AA619	AI862	family	Enterobacteriaceae	family	Enterobacteriaceae	family	Enterobacteriaceae	26842776; 21911569; 28336940
AusGEM_01828:AA170	11	88266	50.70355516280335	5180ed4726809c75e99c354112a8d4b6	IncFIA,IncFIC,IncFII	000136__AP014877_00014,AP001918,KF954760	-	-	MPF_F	NC_010409_00124,NC_022651_00077	MOBF	NZ_CP013834	mobilizable	CP021204	0.0287714	Escherichia coli	AA170	-	order	Enterobacterales	order	Enterobacterales	family	Enterobacteriaceae	20851899
AusGEM_01828:novel_01879c7ff22134fe2568c4d9f9841a03	2	11874	48.02930773117736	01879c7ff22134fe2568c4d9f9841a03	IncFIB	000095__NZ_CP014273_00094	-	-	-	-	-	-	non-mobilizable	AY230888	0.0608169	Escherichia coli	novel_01879c7ff22134fe2568c4d9f9841a03	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_01828:AC540	3	8183	61.29781253818893	72773d5a7a39bfb780f99c6b1b5c75d2	-	-	-	-	-	-	-	-	non-mobilizable	HE616910	0.052714	Aeromonas rivipollensis	AC540	-	genus	Aeromonas	genus	Aeromonas	-	-	-
AusGEM_01829:AA170	8	68554	49.45152726317939	abd9e71cd78c50d3aae903a24df5914b	IncFIA,IncFIC,IncFIB,IncFII	000136__AP014877_00014,AP001918,000095__NZ_CP014273_00094,KF954760	-	-	MPF_F	NC_010409_00124,NC_022651_00077	-	-	non-mobilizable	CP021204	0.0126347	Escherichia coli	AA170	AH819	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
